Key,
R,Candidates must be able to read and understand the word in Chinese characters at this level.
"",Candidates will not have to read the word in Chinese characters at this level.
"*","They must, however, know the pinyin and understand the word aurally. They"
Chinese,Pinyin,English,Level 1,Level 2
"跳舞",tiào wǔ,to dance,,*
"想要",xiǎng yào,would like,,*
"",Weather,,,
"风",fēng,wind,,R
"冷",lěng,cold,,R
"热",rè,hot,,R
"里边",lǐbian,inside,,R
"雨",yǔ,rain,,R
"雪",xuě,snow,,R
"外边",wàibian,outside,,*
"太阳",tàiyáng,sun,,*
"天气",tiānqì,weather,,*
"",Additional words,,,
"喜",xǐ,happy/ happiness,R,R
"福",fú,lucky/ good fortune,R,R
"马",mǎ,horse,R,R
"女",nǚ,female,R,R
